time;open;high;low;close
2024-01-12;46350.4;46500.0;41476.0;42800.1
2024-01-13;42800.1;43230.0;42459.8;42827.9
2024-01-14;42827.9;43055.0;41717.0;41719.1
2024-01-15;41717.1;43318.0;41700.0;42506.4
2024-01-16;42499.3;43568.3;42042.1;43134.7
2024-01-17;43134.7;43165.0;42190.2;42747.8
2024-01-18;42746.1;42877.0;40625.0;41264.7
2024-01-19;41264.8;42140.3;40255.0;41611.9
2024-01-20;41611.9;41800.0;40000.0;41650.0
2024-01-21;41649.9;42260.0;41482.8;41554.7
2024-01-22;41554.8;41654.2;39410.9;39510.0
2024-01-23;39510.0;40100.0;38518.0;39844.0
2024-01-24;39844.0;40492.3;39451.1;40069.8
2024-01-25;40069.8;40261.7;39556.2;39924.8
2024-01-26;39924.8;42213.6;39810.4;41814.2
2024-01-27;41814.3;42194.3;41399.9;42126.3
2024-01-28;42126.3;42800.0;41651.2;42024.9
2024-01-29;42025.0;43333.0;41817.8;43269.5
2024-01-30;43272.7;43857.2;42716.0;42956.0
2024-01-31;42956.0;43742.3;42300.1;42551.7
2024-02-01;42551.7;43250.0;41882.5;43075.2
2024-02-02;43075.3;43431.5;42546.6;43185.9
2024-02-03;43185.9;43345.2;42900.1;42982.8
2024-02-04;42982.8;43091.1;42232.8;42591.4
2024-02-05;42591.3;43489.0;42250.9;42650.0
2024-02-06;42650.0;43339.7;42530.3;43085.0
2024-02-07;43085.0;44362.0;42763.7;44333.6
2024-02-08;44333.7;45606.2;44333.7;45329.6
2024-02-09;45329.6;48188.5;45258.8;47127.0
2024-02-10;47127.1;48154.0;46900.0;47773.2
2024-02-11;47766.2;48590.0;47580.9;48295.0
2024-02-12;48295.0;50339.5;47642.0;49943.7
2024-02-13;49943.7;50390.2;48240.0;49755.4
2024-02-14;49750.1;52136.8;49255.2;51835.1
2024-02-15;51835.2;52843.0;51335.2;51947.1
2024-02-16;51947.1;52574.2;51625.0;52185.3
2024-02-17;52185.3;52192.0;50581.2;51700.0
2024-02-18;51700.1;52392.1;51231.1;52156.3
2024-02-19;52157.1;52475.6;51704.8;51771.1
2024-02-20;51771.2;52991.8;50663.7;52270.1
2024-02-21;52270.1;52359.9;50636.4;51866.9
2024-02-22;51866.9;52035.0;50890.2;51300.1
2024-02-23;51300.1;51472.4;50456.0;50739.4
2024-02-24;50739.4;51650.0;50589.7;51554.5
2024-02-25;51554.5;51936.7;51300.0;51733.8
2024-02-26;51733.8;54920.0;50950.0;54525.4
2024-02-27;54525.4;57572.6;54478.8;57072.6
2024-02-28;57066.2;64015.8;56000.4;62487.8
2024-02-29;62489.8;63583.5;60108.8;61180.9
2024-03-01;61180.9;63150.0;60800.1;62434.3
2024-03-02;62434.3;62500.0;61663.3;62033.7
2024-03-03;62028.6;63255.0;61400.0;63178.2
2024-03-04;63178.3;68521.0;62262.0;68323.1
2024-03-05;68338.6;69218.0;59150.0;63802.3
2024-03-06;63805.2;67635.3;62876.6;66098.9
2024-03-07;66098.9;68050.0;65668.0;66936.5
2024-03-08;66936.7;70000.0;65200.0;68333.0
2024-03-09;68333.0;68657.4;68047.8;68459.1
2024-03-10;68459.1;69981.0;68254.9;69040.1
2024-03-11;69040.1;72866.4;67187.3;72100.0
2024-03-12;72100.1;73000.0;68660.2;71484.7
2024-03-13;71480.8;73666.5;71336.1;73082.4
2024-03-14;73089.7;73734.0;68554.9;71371.2
2024-03-15;71371.3;72500.0;65600.0;69488.8
2024-03-16;69488.9;69999.0;64802.6;65249.6
2024-03-17;65249.6;68815.6;64555.0;68355.6
2024-03-18;68355.6;68898.3;66569.4;67600.0
2024-03-19;67600.0;68075.0;61537.5;61908.4
2024-03-20;61905.3;68137.3;60778.2;67866.0
2024-03-21;67866.1;68238.0;64564.4;65499.9
2024-03-22;65500.0;66614.8;62204.1;63810.1
2024-03-23;63810.0;65970.0;63050.4;64034.5
2024-03-24;64034.4;67614.8;63825.0;67193.9
2024-03-25;67199.1;71217.1;66438.4;69950.0
2024-03-26;69950.1;71557.7;69116.8;70000.1
2024-03-27;70000.1;71746.9;68366.5;69437.3
2024-03-28;69437.2;71546.3;68800.0;70742.2
2024-03-29;70742.2;70911.4;69128.7;69917.1
2024-03-30;69917.0;70354.4;69607.6;69652.0
2024-03-31;69652.0;71323.9;69600.0;71306.8
2024-04-01;71306.7;71306.8;68101.0;69681.1
2024-04-02;69681.1;69699.9;64572.7;65457.6
2024-04-03;65457.6;66902.0;64541.2;65991.5
2024-04-04;65991.4;69354.7;65116.1;68527.4
2024-04-05;68527.4;68755.0;66004.5;67856.5
2024-04-06;67856.5;69693.1;67513.7;68908.6
2024-04-07;68908.6;70300.0;68888.0;69386.1
2024-04-08;69386.0;72731.5;69114.5;71650.0
2024-04-09;71650.1;71738.0;68263.2;69159.9
2024-04-10;69159.9;71100.1;67500.0;70612.2
2024-04-11;70612.3;71250.9;69600.1;70046.4
2024-04-12;70046.4;71200.0;65118.0;67205.2
2024-04-13;67199.8;67946.1;60495.0;64042.4
2024-04-14;64018.6;65835.1;62665.7;65700.0
2024-04-15;65700.0;66898.7;62355.9;63408.4
2024-04-16;63441.8;64341.9;61551.0;63832.6
2024-04-17;63832.6;64444.0;59700.0;61284.4
2024-04-18;61284.4;64142.7;60857.6;63509.1
2024-04-19;63499.5;65499.9;59666.0;63849.1
2024-04-20;63846.0;65424.1;63164.0;64993.7
2024-04-21;64993.8;65715.3;64281.0;64953.6
2024-04-22;64953.0;67200.0;64543.1;66831.4
2024-04-23;66831.4;67190.0;65853.8;66419.8
2024-04-24;66419.8;67000.0;63583.4;64291.3
2024-04-25;64291.3;65300.0;62743.5;64489.1
2024-04-26;64489.1;64760.8;63338.4;63750.8
2024-04-27;63750.8;63893.0;62396.6;63425.0
2024-04-28;63425.1;64301.0;62785.8;63114.9
2024-04-29;63114.1;64125.0;61774.6;63822.1
2024-04-30;63822.1;64738.3;59110.0;60610.0
2024-05-01;60610.0;60775.0;56378.0;58272.2
2024-05-02;58272.3;59602.1;56929.9;59124.1
2024-05-03;59113.2;63284.0;58848.7;62925.8
2024-05-04;62925.8;64500.0;62550.4;63895.3
2024-05-05;63898.0;64646.7;62937.0;64067.5
2024-05-06;64067.5;65500.0;62720.2;63161.7
2024-05-07;63161.7;64332.9;62305.0;62325.0
2024-05-08;62325.0;62966.2;60888.9;61172.1
2024-05-09;61172.1;63418.5;60650.7;63051.9
2024-05-10;63052.0;63521.1;60220.2;60794.6
2024-05-11;60790.8;61437.2;60484.0;60805.0
2024-05-12;60805.0;61800.0;60638.9;61444.6
2024-05-13;61444.6;63400.0;60773.2;62910.0
2024-05-14;62910.0;63075.0;61000.0;61568.6
2024-05-15;61568.6;66450.0;61325.4;66233.0
2024-05-16;66233.1;66700.0;64557.0;65228.4
2024-05-17;65228.4;67443.0;65121.1;67043.5
2024-05-18;67043.6;67362.9;66620.4;66920.0
