datetime;open;high;low;close
2016-05-17 0:00;454;456.09;452;453.08
2016-05-18 0:00;452.96;455.68;452;452.92
2016-05-19 0:00;452.47;453.85;435.03;436.3
2016-05-20 0:00;436.3;444.41;435.06;442.72
2016-05-21 0:00;442.84;443.98;435.28;443.31
2016-05-22 0:00;442.72;443.47;435;438.8
2016-05-23 0:00;438.72;442.99;436.4;442.99
2016-05-24 0:00;442.63;446.37;441;443.97
2016-05-25 0:00;444.05;449.6;443.97;448.7
2016-05-26 0:00;448.7;452.98;446.8;452.07
2016-05-27 0:00;452.07;478.16;452.07;472.05
2016-05-28 0:00;470.58;529.08;468;519.41
2016-05-29 0:00;522.13;540;485;517.84
2016-05-30 0:00;517.6;535;510.01;527.64
2016-05-31 0:00;527.64;548.5;515;531.84
2016-06-01 0:00;531.85;542.87;525.49;536.95
2016-06-02 0:00;536.95;540;529.13;538
2016-06-03 0:00;538;578.37;535.74;569.94
2016-06-04 0:00;569.94;588.71;558.54;573.8
2016-06-05 0:00;573.5;582;566;573.91
2016-06-06 0:00;573.42;586.02;573.42;584.5
2016-06-07 0:00;584.12;594.44;563;577.54
2016-06-08 0:00;577.54;584.25;571.86;583.03
2016-06-09 0:00;583.01;583.1;572.97;575.01
2016-06-10 0:00;575.01;580;572;578.01
2016-06-11 0:00;578.01;611;575.93;610
2016-06-12 0:00;610;683.02;603.21;672.13
2016-06-13 0:00;668.81;725;655.02;704.49
2016-06-14 0:00;703.81;704.5;655;685.25
2016-06-15 0:00;685.25;695.77;672.12;695
2016-06-16 0:00;695;773.07;689.8;766.62
2016-06-17 0:00;767.37;778.7;706.37;745.22
2016-06-18 0:00;745;778.85;723.02;754.83
2016-06-19 0:00;754.83;764.93;740.11;761.44
2016-06-20 0:00;759.12;763.99;723.4;730.85
2016-06-21 0:00;725;728.18;625;667.54
2016-06-22 0:00;665.36;677.63;588.03;601.3
2016-06-23 0:00;600.51;632.67;1.5;624.91
2016-06-24 0:00;622.59;683.88;620.82;661.71
2016-06-25 0:00;660.76;684.45;639.4;659.86
2016-06-26 0:00;658.8;662.9;608.64;630.16
2016-06-27 0:00;630.16;658;618.03;657.5
2016-06-28 0:00;657.49;665.51;635.5;646.08
2016-06-29 0:00;644.33;645;621.09;634.11
2016-06-30 0:00;635.91;671.22;628.06;667.95
2016-07-01 0:00;666.33;684.1;659.71;674.86
2016-07-02 0:00;674.86;704.93;672.74;702.48
2016-07-03 0:00;702.48;704.99;646.29;658.27
2016-07-04 0:00;658.34;682.35;640.1;680.35
2016-07-05 0:00;678.74;682.36;661.57;668.94
2016-07-06 0:00;668;679;662.13;674.7
2016-07-07 0:00;674.7;678.43;605.5;638.19
2016-07-08 0:00;638.89;665.99;635;663
2016-07-09 0:00;663;663.99;626;647.78
2016-07-10 0:00;647.78;650.88;636.8;648.76
