published_at,sentiment_mean_BTC,sentiment_mean_MACRO,sentiment_mean_TECH,sentiment_count_BTC,sentiment_count_MACRO,sentiment_count_TECH,sentiment_std_BTC,sentiment_std_MACRO,sentiment_std_TECH,sentiment_total,total_count,sentiment_mean_BTC_roll_mean,sentiment_mean_BTC_roll_std,sentiment_mean_MACRO_roll_mean,sentiment_mean_MACRO_roll_std,sentiment_mean_TECH_roll_mean,sentiment_mean_TECH_roll_std,sentiment_total_roll_mean,sentiment_total_roll_std,sentiment_mean_BTC_lag1,sentiment_mean_MACRO_lag1,sentiment_mean_TECH_lag1,sentiment_total_lag1,sentiment_mean_BTC_shock,sentiment_mean_MACRO_shock,sentiment_mean_TECH_shock,sentiment_total_shock,div_btc_macro
2022-02-27 16:00:00+00:00,0.07027883881500786,0.0,0.0,7.0,0.0,0.0,0.42359427221907553,0.0,0.0,0.07027883881500786,7,0.1965933393699944,0.36196903446402934,0.0,0.0,0.0,0.0,0.1965933393699944,0.36196903446402934,0.32825544676780705,0.0,0.0,0.32825544676780705,0,0,0,0,0.07027883881500786
2022-02-27 20:00:00+00:00,0.17610227520465851,0.0,0.0,2.0,0.0,0.0,0.8276001458593836,0.0,0.0,0.17610227520465851,2,0.18967042572443174,0.36180832967787957,0.0,0.0,0.0,0.0,0.18967042572443174,0.36180832967787957,0.07027883881500786,0.0,0.0,0.07027883881500786,0,0,0,0,0.17610227520465851
2022-02-28 04:00:00+00:00,0.372695251250267,0.0,0.0,8.0,0.0,0.0,0.5588801825035353,0.0,0.0,0.372695251250267,8,0.15488385446493316,0.3236588760846973,0.0,0.0,0.0,0.0,0.15488385446493316,0.3236588760846973,0.17610227520465851,0.0,0.0,0.17610227520465851,0,0,0,0,0.372695251250267
2022-02-28 08:00:00+00:00,0.25289894098401067,0.0,0.0,20.0,0.0,0.0,0.5013103109519876,0.0,0.0,0.25289894098401067,20,0.25874822759590177,0.1668017872317374,0.0,0.0,0.0,0.0,0.25874822759590177,0.1668017872317374,0.372695251250267,0.0,0.0,0.372695251250267,0,0,0,0,0.25289894098401067
2022-02-28 12:00:00+00:00,0.216335939134251,0.0,0.0,22.0,0.0,0.0,0.4936825376134668,0.0,0.0,0.216335939134251,22,0.2783292883320089,0.1493535661770417,0.0,0.0,0.0,0.0,0.2783292883320089,0.1493535661770417,0.25289894098401067,0.0,0.0,0.25289894098401067,0,0,0,0,0.216335939134251
2022-02-28 16:00:00+00:00,0.028843237240174204,0.0,0.0,17.0,0.0,0.0,0.5090238702520308,0.0,0.0,0.028843237240174204,17,0.2064871327708823,0.12631772665354657,0.0,0.0,0.0,0.0,0.2064871327708823,0.12631772665354657,0.216335939134251,0.0,0.0,0.216335939134251,0,0,0,0,0.028843237240174204
2022-02-28 20:00:00+00:00,0.291457660873731,0.0,0.0,12.0,0.0,0.0,0.5005683250881632,0.0,0.0,0.291457660873731,12,0.20123030621458574,0.12106199319346206,0.0,0.0,0.0,0.0,0.20123030621458574,0.12106199319346206,0.028843237240174204,0.0,0.0,0.028843237240174204,0,0,0,0,0.291457660873731
2022-03-01 00:00:00+00:00,-0.611530492925644,0.0,0.0,2.0,0.0,0.0,0.21267441007859356,0.0,0.0,-0.611530492925644,2,0.10382897310877832,0.3329060751286281,0.0,0.0,0.0,0.0,0.10382897310877832,0.3329060751286281,0.291457660873731,0.0,0.0,0.291457660873731,-1,0,0,-1,-0.611530492925644
2022-03-01 04:00:00+00:00,-0.04699110311269761,0.0,0.0,8.0,0.0,0.0,0.5006336325968226,0.0,0.0,-0.04699110311269761,8,0.07195849049201318,0.33550258337438515,0.0,0.0,0.0,0.0,0.07195849049201318,0.33550258337438515,-0.611530492925644,0.0,0.0,-0.611530492925644,0,0,0,0,-0.04699110311269761
2022-03-01 08:00:00+00:00,0.28506737707138063,0.0,0.0,20.0,0.0,0.0,0.40176427520473174,0.0,0.0,0.28506737707138063,20,0.05944022275217226,0.32384351925546895,0.0,0.0,0.0,0.0,0.05944022275217226,0.32384351925546895,-0.04699110311269761,0.0,0.0,-0.04699110311269761,0,0,0,0,0.28506737707138063
